1,0.01,0.01,0.03,4,4,4,0,0,2,4,4,0,0,0.8,1,0,0,0.03,4,0,0,0
2,0.01,0.01,0.03,4,4,4,0,0,2,4,4,0,0,0.8,1,0,0,0.03,4,0,0,0
3,0.01,0.01,0.03,4,4,4,0,0,2,4,4,0,0,0.8,1,0,0,0.03,4,0,0,0
4,0.01,0.01,0.03,4,4,4,0,0,2,4,4,0,0,0.8,1,0,0,0.03,4,0,0,0
5,0.01,0.01,0.03,4,4,4,0,0,2,4,4,0,0,0.8,1,0,0,0.03,4,0,0,0
6,0.01,0.01,4,0.03,4,4,0,0,4,1,4,0,0,0.8,1,0,0,4,0.03,0,0,0
7,0.01,0.01,4,0.03,4,4,0,0,4,1,4,0,0,0.8,1,0,0,4,0.03,0,0,0
8,0.01,0.01,4,0.03,4,4,0,0,4,1,4,0,0,0.8,1,0,0,4,0.03,0,0,0
9,0.01,0.01,4,0.03,4,4,0,0,4,1,4,0,0,0.8,1,0,0,4,0.03,0,0,0
10,0.01,0.01,4,0.03,4,4,0,0,4,1,4,0,0,0.8,1,0,0,4,0.03,0,0,0
11,0.01,0.01,0.03,4,4,4,0,0,0,4,4,0,0,0.8,1,0,0,0.03,4,0,0,0
12,0.01,0.01,0.03,4,4,4,0,0,0,4,4,0,0,0.8,1,0,0,0.03,4,0,0,0
13,0.01,0.01,0.03,4,4,4,0,0,0,4,4,0,0,0.8,1,0,0,0.03,4,0,0,0
14,0.01,0.01,0.03,4,4,4,0,0,0,4,4,0,0,0.8,1,0,0,0.03,4,0,0,0
15,0.01,0.01,0.03,4,4,4,0,0,0,4,4,0,0,0.8,1,0,0,0.03,4,0,0,0
16,0.01,0.01,4,0.03,4,4,0,0,4,3,4,0,0,0.8,1,0,0,4,0.03,0,0,0
17,0.01,0.01,4,0.03,4,4,0,0,4,3,4,0,0,0.8,1,0,0,4,0.03,0,0,0
18,0.01,0.01,4,0.03,4,4,0,0,4,3,4,0,0,0.8,1,0,0,4,0.03,0,0,0
19,0.01,0.01,4,0.03,4,4,0,0,4,3,4,0,0,0.8,1,0,0,4,0.03,0,0,0
20,0.01,0.01,4,0.03,4,4,0,0,4,3,4,0,0,0.8,1,0,0,4,0.03,0,0,0
